FID,OBJECTID,SHAPE,WC_ID,BEZIRK,STRASSE,ORTSANGABE,AKTIV,AKTIV_TXT,OEFFNUNGSZEIT,EINSCHRAENKUNGEN,PERSONALBETREUUNG,KATEGORIE,AUSSTATTUNG,ICON,ICON_TXT,KONTAKT,ABTEILUNG,INFORMATION,SE_ANNO_CAD_DATA
WCANLAGE2OGD.616651,616651,POINT (16.436262813823475 48.22138461437287),M45_MWC70,22,An der unteren Alten Donau,ggü. 169,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1; barrierefrei 1,,B,Barrierefrei,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616652,616652,POINT (16.436987247958015 48.21708404984032),M45_MWC62,22,An der unteren Alten Donau,ggü. 239,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1; barrierefrei 1,,B,Barrierefrei,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616653,616653,POINT (16.43639480258233 48.21914027991307),M45_MWC28,22,An der unteren Alten Donau,ggü. 211,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616654,616654,POINT (16.436394799531676 48.21912631257064),M45_MWC69,22,An der unteren Alten Donau,ggü. 211,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1; barrierefrei 1,,B,Barrierefrei,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616655,616655,POINT (16.43640481778391 48.2229255355559),M45_MWC57,22,An der unteren Alten Donau,ggü. 151,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616656,616656,POINT (16.43637933390332 48.222929364599096),M45_MWC58,22,An der unteren Alten Donau,ggü. 151,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616657,616657,POINT (16.436379370603134 48.22297435034202),M45_MWC71,22,An der unteren Alten Donau,ggü. 151,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,unisex 1; barrierefrei 1,,B,Barrierefrei,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616658,616658,POINT (16.43134159690921 48.216893807314875),M45_MWC76,22,Neue Donau,"ND - km 10,3 Grillplatz 8",-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616659,616659,POINT (16.431361687929517 48.21688372727645),M45_MWC77,22,Neue Donau,"ND - km 10,3 Grillplatz 8",-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1; barrierefrei 1,,B,Barrierefrei,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616660,616660,POINT (16.43227935380907 48.21612634065323),M45_MWC82,22,Neue Donau,"ND - km 10,3 Grillplatz 8",-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1; barrierefrei 1,,B,Barrierefrei,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616661,616661,POINT (16.464809689823618 48.191338038185286),M45_FWC23,22,Donauinsel,"zw. ND-km 6,7 - 6,6",-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,Damen 1; Herren 1; Pissoir,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616662,616662,POINT (16.402327627195373 48.23892808274105),M45_MWC85,21,Neue Donau,Grillzone Brigittenauer Bucht,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616663,616663,POINT (16.415182784077288 48.247077811599944),M45_MWC43,21,An der Oberen Alten Donau,Mühlschüttelpark,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1; barrierefrei 1,,B,Barrierefrei,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616664,616664,POINT (16.412004781574282 48.24841975958984),M45_MWC87,21,An der Oberen Alten Donau,Mühlschüttelpark,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616665,616665,POINT (16.411248555250975 48.23120602834381),M45_FWC24,22,Copa Beach,"ND km 12,6 - stromauf der Reichsbrücke",-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,"nein - 0,50 €",Unisex 1; barrierefrei 1; Pissoir,Euro-Key,B,Barrierefrei,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
