FID,OBJECTID,SHAPE,BASIS_TYP_TXT,BASIS_TYP,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_d8,5983382,POINT (16.415682291490537 48.239377558246986),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_d9,5983383,POINT (16.416050367282566 48.2413714962116),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_da,5983384,POINT (16.314908791723756 48.1398569552097),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_db,5983385,POINT (16.31521119827232 48.14023935566872),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_dc,5983386,POINT (16.39367197709698 48.27355942696764),Grundwasserbrunnen,1,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_dd,5983387,POINT (16.46114726363108 48.234148396542324),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_de,5983388,POINT (16.415700899181164 48.237741793326165),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_df,5983389,POINT (16.524694254339384 48.21318315238624),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_e0,5983390,POINT (16.479982096826355 48.2416019499262),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_e1,5983391,POINT (16.38991517248307 48.25636499475083),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_e2,5983392,POINT (16.388464766961828 48.257167644711046),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_e3,5983393,POINT (16.43210941211042 48.24711670779722),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_e4,5983394,POINT (16.480640435824746 48.22025548045338),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_e5,5983395,POINT (16.475540703780595 48.21247699320509),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_e6,5983396,POINT (16.330686257779917 48.217267784780546),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_e7,5983397,POINT (16.36211039963169 48.25662373511677),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_e8,5983398,POINT (16.525277720853044 48.21796243478601),Trinkbrunnen mit Tränke,5,
